"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Software Engineer - Advanced - C++ Web API"," Siemens PLC  ","TX","Austin","$74k-$121k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=344663&s=149&guid=000001676ba8f830a333d16606656997&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9ffc2c9f&cb=1543699495084&jobListingId=3024104374"," 17 days ago"
"Area Sales Professional-Industrial Products Portfolio-West TX"," Siemens PLC  ","TX","Fort Worth","","Fort Worth, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=344663&s=149&guid=000001676ba8f830a333d16606656997&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a640b024&cb=1543699495086&jobListingId=3043110470"," Today"
"Field Service Technician"," Siemens  ","TX","McAllen","$19-$31 per hour","McAllen, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4465&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d1f03780&cb=1543699495087&jobListingId=3044226481","7 days ago"
"Quality Engineer"," Siemens PLC  ","TX","Grand Prairie","$55k-$113k","Grand Prairie, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=344663&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4cd01d06&cb=1543699495088&jobListingId=3043287593"," Today"
"Field Service Project Manager"," Siemens PLC  ","TX","Beaumont","","Beaumont, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=344663&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0b17e483&cb=1543699495089&jobListingId=2973030957"," 3 days ago"
"Safety Manager"," Siemens PLC  ","TX","Houston","$61k-$102k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=344663&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_abe6b9ca&cb=1543699495090&jobListingId=3043110525"," Today"
"Sales Engineer-Industrial Integrated Drives, Services and So..."," Siemens  ","TX","Houston","$74k-$93k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=182759&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_51d195b1&cb=1543699495091&jobListingId=3034600097"," 8 days ago"
"Production Manager"," Siemens  ","TX","Houston","$53k-$91k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=182759&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4487f951&cb=1543699495093&jobListingId=3044320935","7 days ago"
"Executive Assistant I"," Siemens  ","TX","Plano","$37k-$58k","Plano, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=182759&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_05cc04ba&cb=1543699495094&jobListingId=3040303339"," 3 days ago"
"Scientific Visualization Software Engineer (JR)"," Siemens  ","TX","Austin","$55k-$92k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=182759&s=58&guid=000001676ba8f830b80cbf0fd076cda6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a52bca40&cb=1543699495095&jobListingId=3044316509","7 days ago"
