"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Hourly Operator / Assembler"," Delphi Technologies  ","MI","Troy","$12-$21 per hour","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7820f3bb&cb=1543878585014&jobListingId=3041788951"," 4 days ago"
"Process Engineer"," Delphi Technologies  ","MI","Troy","$69k-$128k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=352789&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_efb6348b&cb=1543878585016&jobListingId=3035687040"," 8 days ago"
"Brand and Communications Specialist"," Delphi Technologies  ","MI","Troy","$51k-$70k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_56e5479f&cb=1543878585017&jobListingId=3030271256","7 days ago"
"Mechanical Engineer"," Delphi Technologies  ","MI","Troy","$68k-$166k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f0553a85&cb=1543878585018&jobListingId=3047194724","7 days ago"
"Warehouse and Logistics Coordinator"," Delphi Technologies  ","MI","Troy","$44k-$69k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_db6559bd&cb=1543878585019&jobListingId=3008904946"," 5 days ago"
"Quality Engineer"," Delphi Technologies  ","MI","Troy","$57k-$116k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_40f08400&cb=1543878585021&jobListingId=3008904868","7 days ago"
"Associate Buyer"," Delphi Technologies  ","MI","Troy","$61k-$78k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ce4f9818&cb=1543878585021&jobListingId=3031832730"," 12 days ago"
"Engineering Intern"," Delphi Technologies  ","MI","Troy","$52k-$74k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d7622637&cb=1543878585023&jobListingId=2976820136","7 days ago"
"Aftermarket Supply Chain Manager - North America"," Delphi Technologies  ","MI","Troy","$97k-$143k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d12a5ee3&cb=1543878585024&jobListingId=3028471688"," 16 days ago"
"Finance Intern"," Delphi Technologies  ","MI","Troy","$50k-$76k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=133025&s=58&guid=000001677655aa428e389389382cb475&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4d079a56&cb=1543878585025&jobListingId=2954516489","7 days ago"
