,Job_Title,Company,Salary,Location,URL,Days posted
0,Warehouse Team Leader, Bosch Group  ,$45k-$97k,"Laredo, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=180625&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ec77360b&cb=1543878578574&jobListingId=3039812195, 5 days ago
1,Parttime assemblage medewerker gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_90595396&cb=1543878578576&jobListingId=3037002251, 6 days ago
2,HSE Coordinator, Bosch Group  ,$36k-$56k,"Socorro, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=180625&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9d2d1146&cb=1543878578577&jobListingId=3039812629, 5 days ago
3,Parttime of fulltime wasstraat medewerker gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a920f910&cb=1543878578579&jobListingId=3005677005, 9 days ago
4,EBIKE TECHNICAL PRODUCT SPECIALIST - Texas, Bosch Group  ,$46k-$79k,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=180625&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0ba847e3&cb=1543878578580&jobListingId=3042798391,7 days ago
5,Site Leader - ADAS Development, Bosch Group  ,80000,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=180625&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c926264d&cb=1543878578581&jobListingId=3014909990, 28 days ago
6,Tijdelijke HR assistent in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2ac4a30f&cb=1543878578582&jobListingId=3041078552, 4 days ago
7,Productiemedewerker bij PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_79db6457&cb=1543878578583&jobListingId=3041078596, 4 days ago
8,Oproepkrachten gezocht voor leuke klussen in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_13d5c2ac&cb=1543878578584&jobListingId=2739691774,7 days ago
9,Verkoopmedewerker in de weekenden bij herenmodezaak in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5f5bdc99&cb=1543878578585&jobListingId=3040179195, 5 days ago
